oln_id_a	oln_id_b	edge_type
YPL047W	YCL010C	ppi
YPL047W	YCL010C	ppi
YPL047W	YCL010C	ppi
YPL047W	YCL010C	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR145W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR167W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR176W	ppi
YPL047W	YDR392W	ppi
YPL047W	YDR392W	ppi
YPL047W	YDR392W	ppi
YPL047W	YDR392W	ppi
YPL047W	YDR392W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YDR448W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL066W	ppi
YPL047W	YGL112C	ppi
YPL047W	YGL112C	ppi
YPL047W	YGL112C	ppi
YPL047W	YGL112C	ppi
YPL047W	YGL112C	ppi
YPL047W	YGL112C	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YGR252W	ppi
YPL047W	YHR099W	ppi
YPL047W	YHR099W	ppi
YPL047W	YHR099W	ppi
YPL047W	YHR099W	ppi
YPL047W	YHR099W	ppi
YPL047W	YHR099W	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YLR055C	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR223W	ppi
YPL047W	YMR236W	ppi
YPL047W	YMR236W	ppi
YPL047W	YMR236W	ppi
YPL047W	YMR236W	ppi
YPL047W	YMR236W	ppi
YPL047W	YNL031C	ppi
YPL047W	YNL031C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL047W	YOL148C	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL016W	ppi
YPL049C	YBL017C	ppi
YPL049C	YBL017C	ppi
YPL049C	YBL017C	ppi
YPL049C	YBR083W	ppi
YPL049C	YBR083W	ppi
YPL049C	YBR083W	ppi
YPL049C	YDR480W	ppi
YPL049C	YDR480W	ppi
YPL049C	YDR480W	ppi
YPL049C	YDR480W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YGR040W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YHR084W	ppi
YPL049C	YKR028W	ppi
YPL049C	YKR028W	ppi
YPL049C	YKR028W	ppi
YPL050C	YDR245W	ppi
YPL050C	YDR245W	ppi
YPL050C	YDR245W	ppi
YPL043W	YGR103W	ppi
YPL050C	YDR245W	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YEL036C	ppi
YPL050C	YJL183W	ppi
YPL050C	YJL183W	ppi
YPL050C	YJL183W	ppi
YPL050C	YJL183W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YJR075W	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL050C	YML115C	ppi
YPL051W	YER180C-A	ppi
YPL051W	YER180C-A	ppi
YPL051W	YKR030W	ppi
YPL051W	YKR030W	ppi
YPL052W	YKL184W	ppi
YPL052W	YKL184W	ppi
YPL052W	YKL184W	ppi
YPL052W	YKL184W	ppi
YPL055C	YAL047C	ppi
YPL055C	YAL047C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL055C	YDL074C	ppi
YPL057C	YBR036C	ppi
YPL057C	YBR036C	ppi
YPL058C	YDR507C	ppi
YPL058C	YDR507C	ppi
YPL058C	YGR281W	ppi
YPL058C	YGR281W	ppi
YPL058C	YIL009W	ppi
YPL058C	YIL009W	ppi
YPL058C	YJL151C	ppi
YPL058C	YJL151C	ppi
YPL058C	YJL192C	ppi
YPL058C	YJL192C	ppi
YPL058C	YOR153W	ppi
YPL058C	YOR153W	ppi
YPL059W	YJL127C	ppi
YPL059W	YJL127C	ppi
YPL059W	YJL162C	ppi
YPL059W	YJL162C	ppi
YPL060W	YOR334W	ppi
YPL060W	YOR334W	ppi
YPL045W	YLR396C	ppi
YPL060W	YOR334W	ppi
YPL061W	YER089C	ppi
YPL061W	YER089C	ppi
YPL061W	YER089C	ppi
YPL063W	YBL030C	ppi
YPL063W	YBL030C	ppi
YPL063W	YBL045C	ppi
YPL063W	YBL045C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YGR033C	ppi
YPL063W	YJL104W	ppi
YPL063W	YJL104W	ppi
YPL063W	YJL104W	ppi
YPL063W	YJL143W	ppi
YPL063W	YJL143W	ppi
YPL063W	YJL143W	ppi
YPL063W	YJL143W	ppi
YPL063W	YML054C	ppi
YPL063W	YML054C	ppi
YPL063W	YMR203W	ppi
YPL063W	YMR203W	ppi
YPL063W	YMR203W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL063W	YNR017W	ppi
YPL065W	YCL008C	ppi
YPL065W	YCL008C	ppi
YPL065W	YCL008C	ppi
YPL065W	YCL008C	ppi
YPL065W	YCL008C	ppi
YPL065W	YCL008C	ppi
YPL065W	YGL045W	ppi
YPL065W	YGL045W	ppi
YPL065W	YGR206W	ppi
YPL065W	YGR206W	ppi
YPL065W	YJR102C	ppi
YPL065W	YJR102C	ppi
YPL065W	YJR102C	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR119W	ppi
YPL065W	YLR417W	ppi
YPL065W	YLR417W	ppi
YPL065W	YLR417W	ppi
YPL065W	YLR417W	ppi
YPL065W	YLR417W	ppi
YPL065W	YMR077C	ppi
YPL065W	YMR077C	ppi
YPL065W	YMR077C	ppi
YPL065W	YMR077C	ppi
YPL065W	YPL002C	ppi
YPL065W	YPL002C	ppi
YPL065W	YPL002C	ppi
YPL066W	YLR425W	ppi
YPL066W	YLR425W	ppi
YPL066W	YLR425W	ppi
YPL066W	YLR425W	ppi
YPL066W	YLR425W	ppi
YPL070W	YDL239C	ppi
YPL070W	YDL239C	ppi
YPL070W	YLR291C	ppi
YPL070W	YLR291C	ppi
YPL070W	YLR291C	ppi
YPL070W	YLR291C	ppi
YPL074W	YER133W	ppi
YPL074W	YER133W	ppi
YPL074W	YPL004C	ppi
YPL074W	YPL004C	ppi
YPL075W	YNL199C	ppi
YPL075W	YNL199C	ppi
YPL075W	YNL199C	ppi
YPL075W	YNL216W	ppi
YPL075W	YNL216W	ppi
YPL075W	YNL216W	ppi
YPL075W	YNL216W	ppi
YPL075W	YNL216W	ppi
YPL076W	YLR372W	ppi
YPL076W	YLR372W	ppi
YPL077C	YER125W	ppi
YPL077C	YER125W	ppi
YPL077C	YOR351C	ppi
YPL077C	YOR351C	ppi
YPL078C	Q0080	ppi
YPL078C	Q0080	ppi
YPL078C	Q0080	ppi
YPL078C	Q0080	ppi
YPL078C	Q0085	ppi
YPL078C	Q0085	ppi
YPL078C	Q0085	ppi
YPL078C	Q0085	ppi
YPL078C	Q0085	ppi
YPL078C	Q0085	ppi
YPL078C	Q0130	ppi
YPL078C	Q0130	ppi
YPL078C	YBL099W	ppi
YPL078C	YBL099W	ppi
YPL078C	YDR298C	ppi
YPL078C	YDR298C	ppi
YPL078C	YDR298C	ppi
YPL078C	YDR298C	ppi
YPL078C	YDR377W	ppi
YPL078C	YDR377W	ppi
YPL078C	YDR377W	ppi
YPL078C	YDR377W	ppi
YPL078C	YDR377W	ppi
YPL078C	YJR121W	ppi
YPL078C	YJR121W	ppi
YPL078C	YJR121W	ppi
YPL078C	YJR121W	ppi
YPL078C	YKL016C	ppi
YPL078C	YKL016C	ppi
YPL081W	YBR189W	ppi
YPL081W	YBR189W	ppi
YPL081W	YBR189W	ppi
YPL081W	YNL207W	ppi
YPL081W	YNL207W	ppi
YPL081W	YNL207W	ppi
YPL082C	YBR198C	ppi
YPL082C	YBR198C	ppi
YPL082C	YBR245C	ppi
YPL082C	YBR245C	ppi
YPL082C	YBR245C	ppi
YPL082C	YBR245C	ppi
YPL082C	YCR052W	ppi
YPL082C	YCR052W	ppi
YPL082C	YDR145W	ppi
YPL082C	YDR145W	ppi
YPL082C	YDR145W	ppi
YPL082C	YDR145W	ppi
YPL082C	YDR303C	ppi
YPL082C	YDR303C	ppi
YPL082C	YDR303C	ppi
YPL082C	YDR397C	ppi
YPL082C	YDR397C	ppi
YPL082C	YDR397C	ppi
YPL082C	YDR397C	ppi
YPL082C	YDR397C	ppi
YPL082C	YDR510W	ppi
YPL082C	YDR510W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL049C	YGR040W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER148W	ppi
YPL082C	YER159C	ppi
YPL082C	YER159C	ppi
YPL082C	YER159C	ppi
YPL082C	YER159C	ppi
YPL082C	YGL066W	ppi
YPL082C	YGL066W	ppi
YPL082C	YGL112C	ppi
YPL082C	YGL112C	ppi
YPL082C	YGL112C	ppi
YPL082C	YGL133W	ppi
YPL082C	YGL133W	ppi
YPL082C	YGR252W	ppi
YPL082C	YGR252W	ppi
YPL082C	YGR252W	ppi
YPL082C	YIL126W	ppi
YPL082C	YIL126W	ppi
YPL082C	YIL126W	ppi
YPL082C	YIL126W	ppi
YPL082C	YKR008W	ppi
YPL082C	YKR008W	ppi
YPL082C	YLR033W	ppi
YPL082C	YLR033W	ppi
YPL082C	YMR033W	ppi
YPL082C	YMR033W	ppi
YPL082C	YMR037C	ppi
YPL082C	YMR037C	ppi
YPL082C	YMR072W	ppi
YPL082C	YMR072W	ppi
YPL082C	YMR072W	ppi
YPL082C	YMR075W	ppi
YPL082C	YMR075W	ppi
YPL082C	YMR075W	ppi
YPL082C	YMR125W	ppi
YPL082C	YMR125W	ppi
YPL082C	YNL309W	ppi
YPL082C	YNL309W	ppi
YPL082C	YOR174W	ppi
YPL082C	YOR174W	ppi
YPL082C	YOR244W	ppi
YPL082C	YOR244W	ppi
YPL083C	YAR008W	ppi
YPL083C	YAR008W	ppi
YPL083C	YLR105C	ppi
YPL083C	YLR105C	ppi
YPL083C	YLR105C	ppi
YPL083C	YLR105C	ppi
YPL083C	YLR105C	ppi
YPL083C	YLR105C	ppi
YPL083C	YMR059W	ppi
YPL083C	YOR187W	ppi
YPL083C	YOR187W	ppi
YPL083C	YOR187W	ppi
YPL084W	YCL008C	ppi
YPL084W	YCL008C	ppi
YPL084W	YDR069C	ppi
YPL084W	YDR069C	ppi
YPL084W	YDR069C	ppi
YPL084W	YDR069C	ppi
YPL084W	YDR069C	ppi
YPL084W	YDR069C	ppi
YPL084W	YLL039C	ppi
YPL084W	YLL039C	ppi
YPL084W	YLL039C	ppi
YPL084W	YLL039C	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR025W	ppi
YPL084W	YLR073C	ppi
YPL084W	YLR073C	ppi
YPL085W	YBR058C	ppi
YPL085W	YBR058C	ppi
YPL085W	YBR058C	ppi
YPL085W	YCR067C	ppi
YPL085W	YCR067C	ppi
YPL085W	YCR067C	ppi
YPL085W	YDL195W	ppi
YPL085W	YDL195W	ppi
YPL085W	YDL195W	ppi
YPL085W	YDL195W	ppi
YPL085W	YDL195W	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YIL109C	ppi
YPL085W	YLR208W	ppi
YPL085W	YLR208W	ppi
YPL085W	YLR208W	ppi
YPL085W	YLR208W	ppi
YPL085W	YLR208W	ppi
YPL085W	YNL049C	ppi
YPL085W	YNL049C	ppi
YPL085W	YNL049C	ppi
YPL086C	YBL071W-A	ppi
YPL086C	YBL071W-A	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YGR200C	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YHR187W	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YKL110C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YLR384C	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YMR312W	ppi
YPL086C	YOL012C	ppi
YPL086C	YOL012C	ppi
YPL089C	YDR167W	ppi
YPL089C	YDR167W	ppi
YPL089C	YGR229C	ppi
YPL089C	YGR229C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YHR030C	ppi
YPL089C	YKL161C	ppi
YPL089C	YKL161C	ppi
YPL089C	YKL161C	ppi
YPL089C	YOR290C	ppi
YPL089C	YOR290C	ppi
YPL093W	YBR142W	ppi
YPL093W	YBR142W	ppi
YPL093W	YBR142W	ppi
YPL093W	YCR072C	ppi
YPL093W	YCR072C	ppi
YPL093W	YDR087C	ppi
YPL093W	YDR087C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR101C	ppi
YPL093W	YDR192C	ppi
YPL093W	YDR192C	ppi
YPL093W	YDR496C	ppi
YPL093W	YDR496C	ppi
YPL093W	YDR496C	ppi
YPL093W	YER006W	ppi
YPL093W	YER006W	ppi
YPL093W	YER006W	ppi
YPL093W	YER006W	ppi
YPL093W	YER006W	ppi
YPL093W	YER006W	ppi
